FRAME #1 : []
FRAME #39 : [(612, 441, 1, 4), (633, 446, 0, 5), (656, 458, 1, 4), (570, 461, 2, 6), (588, 447, 2, 5), (669, 474, 2, 6), (556, 484, 0, 5), (675, 497, 2, 5), (555, 504, 2, 5), (672, 520, 2, 5), (562, 530, 1, 4), (663, 542, 1, 4), (575, 545, 2, 5), (644, 558, 1, 4), (620, 561, 1, 4), (597, 561, 1, 4)]
FRAME #40 : [(612, 441, 1, 4), (633, 446, 0, 5), (656, 459, 1, 4), (570, 461, 2, 6), (587, 447, 2, 5), (669, 474, 2, 6), (555, 485, 0, 4), (675, 497, 2, 5), (555, 505, 2, 5), (672, 520, 2, 6), (563, 530, 1, 4), (663, 543, 1, 4), (575, 546, 2, 6), (620, 556, 2, 1), (644, 559, 1, 4), (620, 564, 1, 4), (598, 562, 1, 3)]
FRAME #41 : [(612, 441, 1, 4), (634, 446, 0, 5), (656, 459, 1, 4), (570, 461, 2, 6), (587, 447, 2, 5), (669, 474, 2, 6), (556, 484, 0, 5), (675, 497, 2, 5), (555, 505, 2, 5), (672, 520, 2, 6), (563, 530, 1, 4), (663, 542, 1, 4), (575, 545, 2, 5), (644, 559, 1, 4), (619, 562, 1, 4), (598, 561, 1, 4)]
FRAME #42 : [(612, 441, 1, 4), (633, 446, 0, 5), (655, 458, 1, 4), (570, 461, 2, 6), (587, 447, 2, 5), (669, 474, 2, 6), (555, 484, 0, 4), (675, 497, 2, 5), (555, 505, 2, 5), (672, 520, 2, 5), (562, 529, 1, 4), (663, 543, 1, 4), (575, 546, 2, 6), (644, 558, 1, 5), (619, 562, 1, 4), (597, 561, 1, 4)]
FRAME #43 : [(612, 441, 1, 4), (633, 446, 1, 5), (588, 446, 2, 5), (655, 458, 1, 4), (570, 461, 2, 6), (669, 475, 2, 6), (556, 484, 0, 5), (675, 497, 2, 5), (555, 505, 2, 5), (673, 519, 2, 5), (562, 529, 1, 4), (663, 543, 1, 4), (575, 546, 2, 6), (644, 557, 1, 5), (620, 562, 1, 4), (597, 559, 1, 4)]
FRAME #44 : [(612, 441, 1, 4), (588, 446, 2, 5), (633, 446, 0, 5), (655, 458, 1, 4), (570, 461, 2, 6), (669, 475, 2, 6), (560, 476, 3, 1), (555, 485, 0, 4), (675, 497, 2, 5), (555, 505, 2, 5), (673, 520, 2, 6), (562, 529, 1, 4), (663, 543, 1, 4), (575, 546, 2, 6), (644, 558, 1, 5), (620, 562, 1, 4), (597, 561, 1, 4)]
FRAME #45 : [(612, 441, 1, 4), (633, 446, 0, 5), (588, 446, 2, 5), (655, 458, 1, 4), (570, 461, 2, 6), (669, 475, 2, 6), (560, 476, 3, 1), (555, 485, 0, 4), (675, 497, 2, 5), (555, 505, 2, 5), (672, 520, 2, 6), (562, 530, 1, 4), (663, 543, 1, 4), (575, 545, 2, 5), (644, 559, 1, 4), (619, 562, 1, 4), (597, 561, 1, 4)]
FRAME #46 : [(612, 441, 1, 4), (633, 446, 1, 5), (588, 446, 2, 5), (655, 458, 1, 4), (570, 461, 2, 6), (669, 474, 2, 6), (556, 484, 0, 5), (675, 497, 2, 5), (555, 505, 2, 5), (672, 520, 2, 5), (562, 530, 1, 4), (663, 542, 1, 4), (575, 546, 2, 5), (620, 562, 1, 5), (644, 559, 1, 4), (598, 562, 1, 3)]
FRAME #47 : [(612, 441, 1, 4), (633, 446, 1, 5), (655, 458, 1, 4), (570, 462, 2, 6), (588, 447, 2, 5), (669, 475, 2, 6), (555, 484, 0, 4), (675, 497, 2, 5), (555, 505, 2, 5), (672, 520, 2, 5), (563, 530, 1, 4), (663, 542, 1, 4), (575, 546, 2, 5), (620, 556, 2, 1), (644, 559, 1, 4), (620, 564, 1, 4), (598, 561, 1, 4)]
FRAME #48 : [(612, 441, 1, 4), (633, 446, 0, 5), (655, 458, 1, 4), (570, 461, 2, 6), (587, 447, 2, 5), (669, 474, 2, 6), (556, 484, 0, 5), (675, 497, 2, 5), (555, 505, 2, 5), (672, 520, 2, 5), (563, 530, 1, 4), (663, 543, 1, 4), (575, 546, 2, 5), (644, 559, 1, 4), (620, 562, 1, 4), (598, 562, 1, 3)]
FRAME #49 : [(612, 441, 1, 4), (634, 446, 1, 6), (656, 458, 1, 4), (570, 461, 2, 6), (588, 447, 2, 5), (669, 474, 2, 6), (555, 485, 0, 5), (675, 497, 2, 5), (555, 505, 2, 5), (672, 520, 2, 5), (563, 530, 1, 4), (663, 542, 1, 4), (575, 545, 2, 5), (644, 558, 1, 5), (620, 563, 1, 4), (598, 562, 1, 3)]
FRAME #50 : [(612, 441, 1, 4), (633, 446, 0, 5), (656, 459, 1, 4), (570, 461, 2, 6), (587, 447, 2, 5), (669, 474, 2, 6), (555, 484, 0, 4), (675, 497, 2, 5), (555, 505, 2, 5), (672, 520, 2, 6), (562, 530, 1, 4), (663, 542, 1, 4), (575, 545, 2, 5), (644, 559, 1, 4), (619, 562, 1, 4), (597, 560, 1, 4)]
FRAME #51 : [(555, 505, 2, 5), (673, 520, 2, 6), (562, 529, 1, 4), (663, 542, 1, 4), (575, 546, 2, 6), (644, 558, 1, 5), (619, 562, 1, 4), (596, 560, 1, 4), (612, 441, 1, 4), (633, 446, 1, 5), (588, 446, 2, 5), (656, 458, 1, 4), (570, 461, 2, 6), (669, 475, 2, 6), (555, 485, 0, 4), (675, 497, 2, 5)]
FRAME #52 : [(612, 441, 1, 4), (632, 446, 0, 5), (588, 446, 2, 5), (655, 458, 1, 4), (570, 461, 2, 6), (669, 475, 2, 6), (556, 484, 0, 5), (675, 497, 2, 5), (555, 505, 2, 5), (673, 520, 2, 6), (562, 530, 1, 4), (663, 543, 1, 4), (575, 546, 2, 6), (644, 558, 1, 5), (620, 562, 1, 4), (598, 560, 1, 4)]
